District,State,Risk_Score,CIS,Severity,Intervention,Priority,Budget,Duration_Days,Start_Date,End_Date,Staff_Required,Responsible_Authority,Target_Enrollments
Idukki,Kerala,100.0,0.2382222222222222,🔴 CRITICAL,Deploy Mobile Aadhaar Enrollment Camp,🔴 URGENT,"₹450,000",14,2026-01-24,2026-02-07,8,District Registrar General + UIDAI Mobile Unit,5000
Idukki,Kerala,100.0,0.2382222222222222,🔴 CRITICAL,School-Based Enrollment Drive,🔴 URGENT,"₹150,000",21,2026-01-24,2026-02-14,4,District Education Officer + UIDAI Liaison,3000
Idukki,Kerala,100.0,0.2382222222222222,🔴 CRITICAL,Demographic Update Campaign,🔴 URGENT,"₹100,000",30,2026-01-24,2026-02-23,3,Block Development Officer + UIDAI Camp,2000
Uttara Kannada,Karnataka,100.0,0.276,🔴 CRITICAL,Deploy Mobile Aadhaar Enrollment Camp,🔴 URGENT,"₹450,000",14,2026-01-24,2026-02-07,8,District Registrar General + UIDAI Mobile Unit,5000
Uttara Kannada,Karnataka,100.0,0.276,🔴 CRITICAL,School-Based Enrollment Drive,🔴 URGENT,"₹150,000",21,2026-01-24,2026-02-14,4,District Education Officer + UIDAI Liaison,3000
Uttara Kannada,Karnataka,100.0,0.276,🔴 CRITICAL,Demographic Update Campaign,🔴 URGENT,"₹100,000",30,2026-01-24,2026-02-23,3,Block Development Officer + UIDAI Camp,2000
Ananthapuramu,Andhra Pradesh,100.0,0.18,🔴 CRITICAL,Deploy Mobile Aadhaar Enrollment Camp,🔴 URGENT,"₹450,000",14,2026-01-24,2026-02-07,8,District Registrar General + UIDAI Mobile Unit,5000
Ananthapuramu,Andhra Pradesh,100.0,0.18,🔴 CRITICAL,School-Based Enrollment Drive,🔴 URGENT,"₹150,000",21,2026-01-24,2026-02-14,4,District Education Officer + UIDAI Liaison,3000
Ananthapuramu,Andhra Pradesh,100.0,0.18,🔴 CRITICAL,Demographic Update Campaign,🔴 URGENT,"₹100,000",30,2026-01-24,2026-02-23,3,Block Development Officer + UIDAI Camp,2000
Kangpokpi,Manipur,100.0,0.0,🔴 CRITICAL,Deploy Mobile Aadhaar Enrollment Camp,🔴 URGENT,"₹450,000",14,2026-01-24,2026-02-07,8,District Registrar General + UIDAI Mobile Unit,5000
Kangpokpi,Manipur,100.0,0.0,🔴 CRITICAL,School-Based Enrollment Drive,🔴 URGENT,"₹150,000",21,2026-01-24,2026-02-14,4,District Education Officer + UIDAI Liaison,3000
Kangpokpi,Manipur,100.0,0.0,🔴 CRITICAL,Demographic Update Campaign,🔴 URGENT,"₹100,000",30,2026-01-24,2026-02-23,3,Block Development Officer + UIDAI Camp,2000
Kanker,Chhattisgarh,100.0,0.2212222222222222,🔴 CRITICAL,Deploy Mobile Aadhaar Enrollment Camp,🔴 URGENT,"₹450,000",14,2026-01-24,2026-02-07,8,District Registrar General + UIDAI Mobile Unit,5000
Kanker,Chhattisgarh,100.0,0.2212222222222222,🔴 CRITICAL,School-Based Enrollment Drive,🔴 URGENT,"₹150,000",21,2026-01-24,2026-02-14,4,District Education Officer + UIDAI Liaison,3000
Kanker,Chhattisgarh,100.0,0.2212222222222222,🔴 CRITICAL,Demographic Update Campaign,🔴 URGENT,"₹100,000",30,2026-01-24,2026-02-23,3,Block Development Officer + UIDAI Camp,2000
Kanniyakumari,Tamil Nadu,100.0,0.1368888888888889,🔴 CRITICAL,Deploy Mobile Aadhaar Enrollment Camp,🔴 URGENT,"₹450,000",14,2026-01-24,2026-02-07,8,District Registrar General + UIDAI Mobile Unit,5000
Kanniyakumari,Tamil Nadu,100.0,0.1368888888888889,🔴 CRITICAL,School-Based Enrollment Drive,🔴 URGENT,"₹150,000",21,2026-01-24,2026-02-14,4,District Education Officer + UIDAI Liaison,3000
Kanniyakumari,Tamil Nadu,100.0,0.1368888888888889,🔴 CRITICAL,Demographic Update Campaign,🔴 URGENT,"₹100,000",30,2026-01-24,2026-02-23,3,Block Development Officer + UIDAI Camp,2000
Kolar,Karnataka,100.0,0.2626666666666666,🔴 CRITICAL,Deploy Mobile Aadhaar Enrollment Camp,🔴 URGENT,"₹450,000",14,2026-01-24,2026-02-07,8,District Registrar General + UIDAI Mobile Unit,5000
Kolar,Karnataka,100.0,0.2626666666666666,🔴 CRITICAL,School-Based Enrollment Drive,🔴 URGENT,"₹150,000",21,2026-01-24,2026-02-14,4,District Education Officer + UIDAI Liaison,3000
Kolar,Karnataka,100.0,0.2626666666666666,🔴 CRITICAL,Demographic Update Campaign,🔴 URGENT,"₹100,000",30,2026-01-24,2026-02-23,3,Block Development Officer + UIDAI Camp,2000
Koriya,Chhattisgarh,100.0,0.2408888888888889,🔴 CRITICAL,Deploy Mobile Aadhaar Enrollment Camp,🔴 URGENT,"₹450,000",14,2026-01-24,2026-02-07,8,District Registrar General + UIDAI Mobile Unit,5000
Koriya,Chhattisgarh,100.0,0.2408888888888889,🔴 CRITICAL,School-Based Enrollment Drive,🔴 URGENT,"₹150,000",21,2026-01-24,2026-02-14,4,District Education Officer + UIDAI Liaison,3000
Koriya,Chhattisgarh,100.0,0.2408888888888889,🔴 CRITICAL,Demographic Update Campaign,🔴 URGENT,"₹100,000",30,2026-01-24,2026-02-23,3,Block Development Officer + UIDAI Camp,2000
Mohali,Chandigarh,100.0,0.0,🔴 CRITICAL,Deploy Mobile Aadhaar Enrollment Camp,🔴 URGENT,"₹450,000",14,2026-01-24,2026-02-07,8,District Registrar General + UIDAI Mobile Unit,5000
Mohali,Chandigarh,100.0,0.0,🔴 CRITICAL,School-Based Enrollment Drive,🔴 URGENT,"₹150,000",21,2026-01-24,2026-02-14,4,District Education Officer + UIDAI Liaison,3000
Mohali,Chandigarh,100.0,0.0,🔴 CRITICAL,Demographic Update Campaign,🔴 URGENT,"₹100,000",30,2026-01-24,2026-02-23,3,Block Development Officer + UIDAI Camp,2000
Chickmagalur,Karnataka,100.0,0.2825555555555555,🔴 CRITICAL,Deploy Mobile Aadhaar Enrollment Camp,🔴 URGENT,"₹450,000",14,2026-01-24,2026-02-07,8,District Registrar General + UIDAI Mobile Unit,5000
Chickmagalur,Karnataka,100.0,0.2825555555555555,🔴 CRITICAL,School-Based Enrollment Drive,🔴 URGENT,"₹150,000",21,2026-01-24,2026-02-14,4,District Education Officer + UIDAI Liaison,3000
Chickmagalur,Karnataka,100.0,0.2825555555555555,🔴 CRITICAL,Demographic Update Campaign,🔴 URGENT,"₹100,000",30,2026-01-24,2026-02-23,3,Block Development Officer + UIDAI Camp,2000
Chikkamagaluru,Karnataka,100.0,0.2477777777777777,🔴 CRITICAL,Deploy Mobile Aadhaar Enrollment Camp,🔴 URGENT,"₹450,000",14,2026-01-24,2026-02-07,8,District Registrar General + UIDAI Mobile Unit,5000
Chikkamagaluru,Karnataka,100.0,0.2477777777777777,🔴 CRITICAL,School-Based Enrollment Drive,🔴 URGENT,"₹150,000",21,2026-01-24,2026-02-14,4,District Education Officer + UIDAI Liaison,3000
Chikkamagaluru,Karnataka,100.0,0.2477777777777777,🔴 CRITICAL,Demographic Update Campaign,🔴 URGENT,"₹100,000",30,2026-01-24,2026-02-23,3,Block Development Officer + UIDAI Camp,2000
Nandyal,Andhra Pradesh,100.0,0.1628888888888889,🔴 CRITICAL,Deploy Mobile Aadhaar Enrollment Camp,🔴 URGENT,"₹450,000",14,2026-01-24,2026-02-07,8,District Registrar General + UIDAI Mobile Unit,5000
Nandyal,Andhra Pradesh,100.0,0.1628888888888889,🔴 CRITICAL,School-Based Enrollment Drive,🔴 URGENT,"₹150,000",21,2026-01-24,2026-02-14,4,District Education Officer + UIDAI Liaison,3000
Nandyal,Andhra Pradesh,100.0,0.1628888888888889,🔴 CRITICAL,Demographic Update Campaign,🔴 URGENT,"₹100,000",30,2026-01-24,2026-02-23,3,Block Development Officer + UIDAI Camp,2000
Chamba,Himachal Pradesh,100.0,0.1951111111111111,🔴 CRITICAL,Deploy Mobile Aadhaar Enrollment Camp,🔴 URGENT,"₹450,000",14,2026-01-24,2026-02-07,8,District Registrar General + UIDAI Mobile Unit,5000
Chamba,Himachal Pradesh,100.0,0.1951111111111111,🔴 CRITICAL,School-Based Enrollment Drive,🔴 URGENT,"₹150,000",21,2026-01-24,2026-02-14,4,District Education Officer + UIDAI Liaison,3000
Chamba,Himachal Pradesh,100.0,0.1951111111111111,🔴 CRITICAL,Demographic Update Campaign,🔴 URGENT,"₹100,000",30,2026-01-24,2026-02-23,3,Block Development Officer + UIDAI Camp,2000
Chamoli,Uttarakhand,100.0,0.253,🔴 CRITICAL,Deploy Mobile Aadhaar Enrollment Camp,🔴 URGENT,"₹450,000",14,2026-01-24,2026-02-07,8,District Registrar General + UIDAI Mobile Unit,5000
Chamoli,Uttarakhand,100.0,0.253,🔴 CRITICAL,School-Based Enrollment Drive,🔴 URGENT,"₹150,000",21,2026-01-24,2026-02-14,4,District Education Officer + UIDAI Liaison,3000
Chamoli,Uttarakhand,100.0,0.253,🔴 CRITICAL,Demographic Update Campaign,🔴 URGENT,"₹100,000",30,2026-01-24,2026-02-23,3,Block Development Officer + UIDAI Camp,2000
Pauri Garhwal,Uttarakhand,100.0,0.2527777777777777,🔴 CRITICAL,Deploy Mobile Aadhaar Enrollment Camp,🔴 URGENT,"₹450,000",14,2026-01-24,2026-02-07,8,District Registrar General + UIDAI Mobile Unit,5000
Pauri Garhwal,Uttarakhand,100.0,0.2527777777777777,🔴 CRITICAL,School-Based Enrollment Drive,🔴 URGENT,"₹150,000",21,2026-01-24,2026-02-14,4,District Education Officer + UIDAI Liaison,3000
Pauri Garhwal,Uttarakhand,100.0,0.2527777777777777,🔴 CRITICAL,Demographic Update Campaign,🔴 URGENT,"₹100,000",30,2026-01-24,2026-02-23,3,Block Development Officer + UIDAI Camp,2000
Pithoragarh,Uttarakhand,100.0,0.2286666666666666,🔴 CRITICAL,Deploy Mobile Aadhaar Enrollment Camp,🔴 URGENT,"₹450,000",14,2026-01-24,2026-02-07,8,District Registrar General + UIDAI Mobile Unit,5000
Pithoragarh,Uttarakhand,100.0,0.2286666666666666,🔴 CRITICAL,School-Based Enrollment Drive,🔴 URGENT,"₹150,000",21,2026-01-24,2026-02-14,4,District Education Officer + UIDAI Liaison,3000
Pithoragarh,Uttarakhand,100.0,0.2286666666666666,🔴 CRITICAL,Demographic Update Campaign,🔴 URGENT,"₹100,000",30,2026-01-24,2026-02-23,3,Block Development Officer + UIDAI Camp,2000
Ramgarh,Jharkhand,100.0,0.2785555555555555,🔴 CRITICAL,Deploy Mobile Aadhaar Enrollment Camp,🔴 URGENT,"₹450,000",14,2026-01-24,2026-02-07,8,District Registrar General + UIDAI Mobile Unit,5000
Ramgarh,Jharkhand,100.0,0.2785555555555555,🔴 CRITICAL,School-Based Enrollment Drive,🔴 URGENT,"₹150,000",21,2026-01-24,2026-02-14,4,District Education Officer + UIDAI Liaison,3000
Ramgarh,Jharkhand,100.0,0.2785555555555555,🔴 CRITICAL,Demographic Update Campaign,🔴 URGENT,"₹100,000",30,2026-01-24,2026-02-23,3,Block Development Officer + UIDAI Camp,2000
Thoubal,Manipur,100.0,0.073,🔴 CRITICAL,Deploy Mobile Aadhaar Enrollment Camp,🔴 URGENT,"₹450,000",14,2026-01-24,2026-02-07,8,District Registrar General + UIDAI Mobile Unit,5000
Thoubal,Manipur,100.0,0.073,🔴 CRITICAL,School-Based Enrollment Drive,🔴 URGENT,"₹150,000",21,2026-01-24,2026-02-14,4,District Education Officer + UIDAI Liaison,3000
Thoubal,Manipur,100.0,0.073,🔴 CRITICAL,Demographic Update Campaign,🔴 URGENT,"₹100,000",30,2026-01-24,2026-02-23,3,Block Development Officer + UIDAI Camp,2000
Tiruppur,Tamil Nadu,100.0,0.1751111111111111,🔴 CRITICAL,Deploy Mobile Aadhaar Enrollment Camp,🔴 URGENT,"₹450,000",14,2026-01-24,2026-02-07,8,District Registrar General + UIDAI Mobile Unit,5000
Tiruppur,Tamil Nadu,100.0,0.1751111111111111,🔴 CRITICAL,Demographic Update Campaign,🔴 URGENT,"₹100,000",30,2026-01-24,2026-02-23,3,Block Development Officer + UIDAI Camp,2000
Rewari,Haryana,100.0,0.224,🔴 CRITICAL,Deploy Mobile Aadhaar Enrollment Camp,🔴 URGENT,"₹450,000",14,2026-01-24,2026-02-07,8,District Registrar General + UIDAI Mobile Unit,5000
Rewari,Haryana,100.0,0.224,🔴 CRITICAL,School-Based Enrollment Drive,🔴 URGENT,"₹150,000",21,2026-01-24,2026-02-14,4,District Education Officer + UIDAI Liaison,3000
Rewari,Haryana,100.0,0.224,🔴 CRITICAL,Demographic Update Campaign,🔴 URGENT,"₹100,000",30,2026-01-24,2026-02-23,3,Block Development Officer + UIDAI Camp,2000
Bhiwani,Haryana,100.0,0.2738888888888888,🔴 CRITICAL,Deploy Mobile Aadhaar Enrollment Camp,🔴 URGENT,"₹450,000",14,2026-01-24,2026-02-07,8,District Registrar General + UIDAI Mobile Unit,5000
Bhiwani,Haryana,100.0,0.2738888888888888,🔴 CRITICAL,School-Based Enrollment Drive,🔴 URGENT,"₹150,000",21,2026-01-24,2026-02-14,4,District Education Officer + UIDAI Liaison,3000
Bhiwani,Haryana,100.0,0.2738888888888888,🔴 CRITICAL,Demographic Update Campaign,🔴 URGENT,"₹100,000",30,2026-01-24,2026-02-23,3,Block Development Officer + UIDAI Camp,2000
Sangareddy,Telangana,100.0,0.1914444444444444,🔴 CRITICAL,Deploy Mobile Aadhaar Enrollment Camp,🔴 URGENT,"₹450,000",14,2026-01-24,2026-02-07,8,District Registrar General + UIDAI Mobile Unit,5000
Sangareddy,Telangana,100.0,0.1914444444444444,🔴 CRITICAL,School-Based Enrollment Drive,🔴 URGENT,"₹150,000",21,2026-01-24,2026-02-14,4,District Education Officer + UIDAI Liaison,3000
Sangareddy,Telangana,100.0,0.1914444444444444,🔴 CRITICAL,Demographic Update Campaign,🔴 URGENT,"₹100,000",30,2026-01-24,2026-02-23,3,Block Development Officer + UIDAI Camp,2000
Sirmaur,Himachal Pradesh,100.0,0.2468888888888888,🔴 CRITICAL,Deploy Mobile Aadhaar Enrollment Camp,🔴 URGENT,"₹450,000",14,2026-01-24,2026-02-07,8,District Registrar General + UIDAI Mobile Unit,5000
Sirmaur,Himachal Pradesh,100.0,0.2468888888888888,🔴 CRITICAL,School-Based Enrollment Drive,🔴 URGENT,"₹150,000",21,2026-01-24,2026-02-14,4,District Education Officer + UIDAI Liaison,3000
Sirmaur,Himachal Pradesh,100.0,0.2468888888888888,🔴 CRITICAL,Demographic Update Campaign,🔴 URGENT,"₹100,000",30,2026-01-24,2026-02-23,3,Block Development Officer + UIDAI Camp,2000
South DumDum(M),West Bengal,100.0,0.0,🔴 CRITICAL,Deploy Mobile Aadhaar Enrollment Camp,🔴 URGENT,"₹450,000",14,2026-01-24,2026-02-07,8,District Registrar General + UIDAI Mobile Unit,5000
South DumDum(M),West Bengal,100.0,0.0,🔴 CRITICAL,School-Based Enrollment Drive,🔴 URGENT,"₹150,000",21,2026-01-24,2026-02-14,4,District Education Officer + UIDAI Liaison,3000
South DumDum(M),West Bengal,100.0,0.0,🔴 CRITICAL,Demographic Update Campaign,🔴 URGENT,"₹100,000",30,2026-01-24,2026-02-23,3,Block Development Officer + UIDAI Camp,2000
Balod,Chhattisgarh,100.0,0.1968888888888889,🔴 CRITICAL,Deploy Mobile Aadhaar Enrollment Camp,🔴 URGENT,"₹450,000",14,2026-01-24,2026-02-07,8,District Registrar General + UIDAI Mobile Unit,5000
Balod,Chhattisgarh,100.0,0.1968888888888889,🔴 CRITICAL,School-Based Enrollment Drive,🔴 URGENT,"₹150,000",21,2026-01-24,2026-02-14,4,District Education Officer + UIDAI Liaison,3000
Balod,Chhattisgarh,100.0,0.1968888888888889,🔴 CRITICAL,Demographic Update Campaign,🔴 URGENT,"₹100,000",30,2026-01-24,2026-02-23,3,Block Development Officer + UIDAI Camp,2000
Bagpat,Uttar Pradesh,100.0,0.125,🔴 CRITICAL,Deploy Mobile Aadhaar Enrollment Camp,🔴 URGENT,"₹450,000",14,2026-01-24,2026-02-07,8,District Registrar General + UIDAI Mobile Unit,5000
