state,district,month,enrol_0_17,enrol_18_plus,enrol_total,enrol_total_per_day,enrol_pincodes,enrol_valid_pins,demo_0_17,demo_18_plus,demo_total,demo_total_per_day,demo_pincodes,bio_0_17,bio_18_plus,bio_total,bio_total_per_day,bio_pincodes,date,update_lag_index,demo_volatility,cis,bio_share,enrol_0_17_lag_5y,mbu_lag,enrol_momentum,service_pressure,adult_child_ratio,bio_quality_score,spatial_coverage,coverage_gap,update_velocity,cluster,district_cluster,anomaly_score,is_anomaly,state_raw,district_raw,inclusion_score,child_enrollment_rate,adult_enrollment_rate,age_gap,age_equity_category,cis_quartile,vulnerability_score,vulnerability_level,baseline_child,baseline_adult,baseline_total,momentum,risk_score,priority_rank,risk_category
Karnataka,Yadgir,2025-12,93.0,0.0,93.0,0.04704918,15.0,61.0,92.0,674.0,766.0,0.082244895,19.0,146.0,664.0,810.0,0.093369566,20.0,2025-12-01,16.766,207.46646,0.5,0.514,93.0,1.553,-0.645,28.65,3.624,8.617,18.0,0.0,0.18,0,0,0.2077458331596264,0,Karnataka,yadgir,0.0,0.5,0.0,-0.5,Child-Favored,Q3 (Medium),45.53112988384372,Moderate,379.77777777777777,6.166666666666667,385.94444444444446,0.21955555555555556,100.0,1,🔴 CRITICAL
Andhra Pradesh,Rangareddi,2025-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.04,1.0,0.0,0.0,0.0,0.0,0.0,2025-12-01,4.0,0.57735026,0.0,0.0,0.0,0.0,-1.0,2.0,4.0,0.0,0.0,-0.5,0.04,0,0,0.2082821706556201,0,andhra pradesh,rangareddi,0.1499999999999999,0.0,0.0,0.0,Balanced,Q1 (Worst),80.12671594508977,Critical,144.92307692307693,0.0,144.92307692307693,0.11053846153846154,100.0,2,🔴 CRITICAL
Jharkhand,West Singhbhum,2025-12,1145.0,4.0,1149.0,0.27977273,20.0,132.0,907.0,9405.0,10312.0,0.68092215,24.0,4690.0,8195.0,12885.0,0.9549885,28.0,2025-12-01,20.171,2075.2715,0.558,0.555,1145.0,4.092,-0.329,317.77,4.583,11.204,24.0,2.125,1.64,2,2,0.1665592319957544,0,Jharkhand,West Singhbhum,0.0,0.5577204091573308,0.0004250797024442083,-0.5572953294548866,Child-Favored,Q4 (Best),22.73899683210137,Low,755.5555555555555,5.333333333333333,760.8888888888889,0.40788888888888886,100.0,3,🔴 CRITICAL
Sikkim,West Sikkim,2025-12,10.0,5.0,15.0,0.05111111,3.0,9.0,24.0,264.0,288.0,0.13529412,3.0,78.0,35.0,113.0,0.0712,3.0,2025-12-01,25.062,72.298,0.286,0.281,10.0,7.091,-0.844,40.1,7.686,7.062,3.0,0.0,0.21,0,0,0.194063384416724,0,Sikkim,West Sikkim,0.0,0.2857142857142857,0.018518518518518517,-0.2671957671957672,Child-Favored,Q1 (Worst),56.493938753959874,High,51.333333333333336,4.333333333333333,55.666666666666664,0.08766666666666668,100.0,4,🔴 CRITICAL
Arunachal Pradesh,West Siang,2025-12,25.0,0.0,25.0,0.045294117,4.0,17.0,86.0,367.0,453.0,0.18705128,4.0,238.0,83.0,321.0,0.15313433,4.0,2025-12-01,29.769,75.59321,0.223,0.414,25.0,9.154,-0.688,59.54,3.277,12.346,4.0,1.5,0.34,0,0,0.187642427618419,0,Arunachal Pradesh,West Siang,0.0,0.22321428571428573,0.0,-0.22321428571428573,Child-Favored,Q1 (Worst),39.79305174234425,Moderate,21.11111111111111,0.2222222222222222,21.333333333333332,0.25688888888888894,100.0,5,🔴 CRITICAL
Madhya Pradesh,West Nimar,2025-12,159.0,1.0,160.0,0.0769697,17.0,66.0,54.0,634.0,688.0,0.07059016,21.0,229.0,1025.0,1254.0,0.1318092,20.0,2025-12-01,12.062,195.02136,0.743,0.645,159.0,1.431,-0.441,32.92,2.967,7.789,19.0,1.0,0.2,0,0,0.1977859452887896,0,Madhya Pradesh,West Nimar,0.0,0.7429906542056075,0.0015723270440251573,-0.7414183271615823,Child-Favored,Q4 (Best),13.232111932418164,Low,83.77777777777777,0.6666666666666666,84.44444444444444,0.2843333333333333,100.0,6,🔴 CRITICAL
West Bengal,West Midnapore,2025-12,273.0,1.0,274.0,0.06210145,40.0,138.0,164.0,6221.0,6385.0,0.22016095,60.0,435.0,1732.0,2167.0,0.122748226,48.0,2025-12-01,31.098,3013.5981,0.623,0.253,273.0,1.588,-0.677,57.4,14.205,7.88,49.0,1.941,0.34,0,0,0.1710856762988882,0,West Bengal,West Midnapore,0.0,0.6232876712328768,0.0001606941989394183,-0.6231269770339374,Child-Favored,Q4 (Best),19.83515311510032,Low,243.0,0.3333333333333333,243.33333333333334,0.2581111111111111,100.0,7,🔴 CRITICAL
West Bengal,West Medinipur,2025-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.03,1.0,0.0,2.0,2.0,0.03,1.0,2025-12-01,5.0,1.0,0.0,0.333,0.0,0.0,0.0,1.67,3.0,2.0,1.0,-0.882,0.06,0,0,0.2096183312838593,0,West Bengal,West Medinipur,0.16459999999999997,0.0,0.0,0.0,Balanced,Q1 (Worst),87.7983949313622,Critical,0.5,0.0,0.5,0.0,100.0,8,🔴 CRITICAL
Meghalaya,West Khasi Hills,2025-12,94.0,84.0,178.0,0.30210528,2.0,19.0,170.0,716.0,886.0,0.56039214,5.0,221.0,141.0,362.0,0.26454544,3.0,2025-12-01,6.972,198.4448,0.355,0.29,94.0,2.326,-0.827,113.45,3.019,2.022,3.0,0.0,0.82,0,0,0.1881074352794938,0,Meghalaya,West Khasi Hills,0.0,0.35471698113207545,0.10486891385767791,-0.24984806727439754,Child-Favored,Q2 (Low),52.47086589229144,High,1176.4444444444443,590.0,1766.4444444444443,-0.246,100.0,9,🔴 CRITICAL
Assam,West Karbi Anglong,2025-12,16.0,34.0,50.0,0.1,5.0,16.0,49.0,299.0,348.0,0.0732,7.0,232.0,457.0,689.0,0.4343137,6.0,2025-12-01,20.333,95.168274,0.242,0.664,16.0,13.647,-0.721,54.58,5.045,13.51,6.0,-0.364,0.51,0,0,0.1970913264180343,0,Assam,West Karbi Anglong,0.0,0.24242424242424243,0.10179640718562874,-0.1406278352386137,Child-Favored,Q1 (Worst),65.82412882787752,High,153.0,56.333333333333336,209.33333333333334,-0.17577777777777778,100.0,10,🔴 CRITICAL
