state,district,month,enrol_0_17,demo_0_17,enrol_total,cis,root_cause
Karnataka,Puttenahalli,2025-12,0.0,0.0,0.0,0.0,No Data (Sparse Coverage)
Jammu and Kashmir,?,2025-11,0.0,0.0,0.0,0.0,No Data (Sparse Coverage)
Odisha,Angul,2025-09,0.0,1.0,0.0,0.0,Child Enrollment Crisis (Real Issue)
Odisha,Angul,2025-10,0.0,0.0,0.0,0.0,No Data (Sparse Coverage)
Odisha,Angul,2025-12,0.0,0.0,0.0,0.0,No Data (Sparse Coverage)
Odisha,Anugul,2025-03,0.0,0.0,0.0,0.0,No Data (Sparse Coverage)
Odisha,Anugul,2025-04,0.0,0.0,0.0,0.0,No Data (Sparse Coverage)
Odisha,Anugul,2025-05,0.0,0.0,0.0,0.0,No Data (Sparse Coverage)
Odisha,Anugul,2025-06,0.0,0.0,0.0,0.0,No Data (Sparse Coverage)
Andhra Pradesh,Adilabad,2025-03,0.0,390.0,0.0,0.0,Child Enrollment Crisis (Real Issue)
Telangana,Adilabad,2025-03,0.0,1388.0,0.0,0.0,Child Enrollment Crisis (Real Issue)
Andhra Pradesh,Adilabad,2025-04,0.0,0.0,0.0,0.0,No Data (Sparse Coverage)
Telangana,Adilabad,2025-04,0.0,368.0,0.0,0.0,Child Enrollment Crisis (Real Issue)
Andhra Pradesh,Adilabad,2025-05,0.0,0.0,0.0,0.0,No Data (Sparse Coverage)
Telangana,Adilabad,2025-05,0.0,0.0,0.0,0.0,No Data (Sparse Coverage)
Andhra Pradesh,Adilabad,2025-06,0.0,0.0,0.0,0.0,No Data (Sparse Coverage)
Telangana,Adilabad,2025-06,0.0,474.0,0.0,0.0,Child Enrollment Crisis (Real Issue)
Andhra Pradesh,Adilabad,2025-07,0.0,0.0,0.0,0.0,No Data (Sparse Coverage)
Telangana,Adilabad,2025-07,0.0,212.0,0.0,0.0,Child Enrollment Crisis (Real Issue)
Madhya Pradesh,Agar Malwa,2025-03,0.0,200.0,0.0,0.0,Child Enrollment Crisis (Real Issue)
Madhya Pradesh,Agar Malwa,2025-04,0.0,0.0,0.0,0.0,No Data (Sparse Coverage)
Madhya Pradesh,Agar Malwa,2025-05,0.0,116.0,0.0,0.0,Child Enrollment Crisis (Real Issue)
Madhya Pradesh,Agar Malwa,2025-06,0.0,54.0,0.0,0.0,Child Enrollment Crisis (Real Issue)
Madhya Pradesh,Agar Malwa,2025-07,0.0,99.0,0.0,0.0,Child Enrollment Crisis (Real Issue)
Gujarat,Ahmadabad,2025-03,0.0,0.0,0.0,0.0,No Data (Sparse Coverage)
Gujarat,Ahmadabad,2025-04,0.0,0.0,0.0,0.0,No Data (Sparse Coverage)
Gujarat,Ahmadabad,2025-05,0.0,0.0,0.0,0.0,No Data (Sparse Coverage)
Maharashtra,Ahmadnagar,2025-03,0.0,1274.0,0.0,0.0,Child Enrollment Crisis (Real Issue)
Maharashtra,Ahmadnagar,2025-05,0.0,0.0,0.0,0.0,No Data (Sparse Coverage)
Maharashtra,Ahmadnagar,2025-06,0.0,0.0,0.0,0.0,No Data (Sparse Coverage)
Maharashtra,Ahmadnagar,2025-07,0.0,0.0,0.0,0.0,No Data (Sparse Coverage)
Maharashtra,Ahmed Nagar,2025-03,0.0,0.0,0.0,0.0,No Data (Sparse Coverage)
Maharashtra,Ahmed Nagar,2025-04,0.0,0.0,0.0,0.0,No Data (Sparse Coverage)
Maharashtra,Ahmed Nagar,2025-05,0.0,0.0,0.0,0.0,No Data (Sparse Coverage)
Maharashtra,Ahmed Nagar,2025-06,0.0,0.0,0.0,0.0,No Data (Sparse Coverage)
Maharashtra,Ahmed Nagar,2025-07,0.0,0.0,0.0,0.0,No Data (Sparse Coverage)
Gujarat,Ahmedabad,2025-03,0.0,9162.0,0.0,0.0,Child Enrollment Crisis (Real Issue)
Gujarat,Ahmedabad,2025-06,0.0,1309.0,0.0,0.0,Child Enrollment Crisis (Real Issue)
Mizoram,Aizawl,2025-03,0.0,744.0,0.0,0.0,Child Enrollment Crisis (Real Issue)
Mizoram,Aizawl,2025-04,0.0,0.0,0.0,0.0,No Data (Sparse Coverage)
Mizoram,Aizawl,2025-05,0.0,0.0,0.0,0.0,No Data (Sparse Coverage)
Mizoram,Aizawl,2025-06,0.0,0.0,0.0,0.0,No Data (Sparse Coverage)
Mizoram,Aizawl,2025-07,0.0,0.0,0.0,0.0,No Data (Sparse Coverage)
Rajasthan,Ajmer,2025-03,0.0,2964.0,0.0,0.0,Child Enrollment Crisis (Real Issue)
Rajasthan,Ajmer,2025-05,0.0,951.0,0.0,0.0,Child Enrollment Crisis (Real Issue)
