district,state,scenario
?,Jammu and Kashmir,Digital Literacy Programs
Akhera,Haryana,Digital Literacy Programs
Balanagar,Telangana,Digital Literacy Programs
Balianta,Odisha,Digital Literacy Programs
Bally Jagachha,West Bengal,Digital Literacy Programs
Bhadrak(R),Odisha,Digital Literacy Programs
Bicholim,Goa,Digital Literacy Programs
Domjur,West Bengal,Digital Literacy Programs
East midnapore,West Bengal,Digital Literacy Programs
Kangpokpi,Manipur,Digital Literacy Programs
Khairthal-Tijara,Rajasthan,Digital Literacy Programs
Kotputli-Behror,Rajasthan,Digital Literacy Programs
Madanapalle,Andhra Pradesh,Digital Literacy Programs
ManendragarhChirmiriBharatpur,Chhattisgarh,Digital Literacy Programs
Medchalâmalkajgiri,Telangana,Digital Literacy Programs
Mohali,Chandigarh,Digital Literacy Programs
Naihati Anandabazar,West Bengal,Digital Literacy Programs
Near Uday nagar NIT garden,Manipur,Digital Literacy Programs
Near University Thana,Haryana,Digital Literacy Programs
Near meera hospital,Manipur,Digital Literacy Programs
