district,state,scenario
?,Jammu and Kashmir,Mobile Aadhaar Camps
Akhera,Haryana,Mobile Aadhaar Camps
Balanagar,Telangana,Mobile Aadhaar Camps
Balianta,Odisha,Mobile Aadhaar Camps
Bally Jagachha,West Bengal,Mobile Aadhaar Camps
Bhadrak(R),Odisha,Mobile Aadhaar Camps
Bicholim,Goa,Mobile Aadhaar Camps
Domjur,West Bengal,Mobile Aadhaar Camps
East midnapore,West Bengal,Mobile Aadhaar Camps
Kangpokpi,Manipur,Mobile Aadhaar Camps
Khairthal-Tijara,Rajasthan,Mobile Aadhaar Camps
Kotputli-Behror,Rajasthan,Mobile Aadhaar Camps
Madanapalle,Andhra Pradesh,Mobile Aadhaar Camps
ManendragarhChirmiriBharatpur,Chhattisgarh,Mobile Aadhaar Camps
Medchalâmalkajgiri,Telangana,Mobile Aadhaar Camps
Mohali,Chandigarh,Mobile Aadhaar Camps
Naihati Anandabazar,West Bengal,Mobile Aadhaar Camps
Near Uday nagar NIT garden,Manipur,Mobile Aadhaar Camps
Near University Thana,Haryana,Mobile Aadhaar Camps
Near meera hospital,Manipur,Mobile Aadhaar Camps
