district,state,scenario
?,Jammu and Kashmir,School Enrollment Drives
Akhera,Haryana,School Enrollment Drives
Balanagar,Telangana,School Enrollment Drives
Balianta,Odisha,School Enrollment Drives
Bally Jagachha,West Bengal,School Enrollment Drives
Bhadrak(R),Odisha,School Enrollment Drives
Bicholim,Goa,School Enrollment Drives
Domjur,West Bengal,School Enrollment Drives
East midnapore,West Bengal,School Enrollment Drives
Kangpokpi,Manipur,School Enrollment Drives
Khairthal-Tijara,Rajasthan,School Enrollment Drives
Kotputli-Behror,Rajasthan,School Enrollment Drives
Madanapalle,Andhra Pradesh,School Enrollment Drives
ManendragarhChirmiriBharatpur,Chhattisgarh,School Enrollment Drives
Medchalâmalkajgiri,Telangana,School Enrollment Drives
Mohali,Chandigarh,School Enrollment Drives
Naihati Anandabazar,West Bengal,School Enrollment Drives
Near Uday nagar NIT garden,Manipur,School Enrollment Drives
Near University Thana,Haryana,School Enrollment Drives
Near meera hospital,Manipur,School Enrollment Drives
