district,cis_mean,adult_child_ratio,enrol_mean,enrol_std,enrol_max,child_enrol_mean,adult_enrol_mean,momentum,coverage_gap,update_lag,num_pincodes,enrol_per_day,state,enrol_volatility,child_proportion,zero_cis_flag,negative_momentum_flag,state_avg_cis,relative_to_state,high_risk,predicted_risk,risk_probability,risk_score,risk_category
Idukki,0.23822222222222222,3.1007777777777776,188.66666666666666,233.83060107693348,510.0,185.55555555555554,3.111111111111111,0.28122222222222226,-0.16544444444444442,3667.0635555555555,22.77777777777778,0.021114595333333333,Kerala,1.2328502692984191,0.9783245459871118,0,0,0.32405925925925927,-0.08583703703703705,1,1,1.0,100.0,🔴 CRITICAL
Uttara Kannada,0.276,2.3272222222222223,385.55555555555554,475.3914468916934,1112.0,382.22222222222223,3.3333333333333335,0.298,1.4736666666666667,4188.158666666666,32.22222222222222,0.02714177577777778,Karnataka,1.22981403335017,0.9887898821500432,0,0,0.3168469658119658,-0.040846965811965785,1,1,0.9995242165242165,100.0,🔴 CRITICAL
Ananthapuramu,0.18000000000000002,3.1966666666666668,354.1111111111111,430.5361321783703,973.0,353.0,1.1111111111111112,0.294,0.6993333333333334,12595.336888888889,39.22222222222222,0.022896013666666666,Andhra Pradesh,1.2123983697138088,0.9940550688360451,0,0,0.21832202218585198,-0.038322022185851956,1,1,1.0,100.0,🔴 CRITICAL
Kangpokpi,0.0,0.333,0.0,,0.0,0.0,0.0,0.0,-0.5,3.0,0.0,0.0,Manipur,,0.0,1,0,0.15960000000000002,-0.15960000000000002,1,1,1.0,100.0,🔴 CRITICAL
Kanker,0.22122222222222224,4.442777777777778,189.44444444444446,234.61516953892342,566.0,189.22222222222223,0.2222222222222222,0.30077777777777776,0.648,3729.8452222222227,6.222222222222222,0.04129652222222222,Chhattisgarh,1.2319349625731102,0.9935822637106184,0,0,0.2937256306024599,-0.07250340838023764,1,1,1.0,100.0,🔴 CRITICAL
Kanniyakumari,0.1368888888888889,2.366888888888889,252.77777777777777,327.6224113891546,867.0,252.66666666666666,0.1111111111111111,0.2688888888888889,0.48144444444444445,5744.579333333333,29.555555555555557,0.020907576666666667,Tamil Nadu,1.290981480955513,0.9956217162872154,0,0,0.23021099498327757,-0.09332210609438868,1,1,1.0,100.0,🔴 CRITICAL
Kolar,0.26266666666666666,4.725666666666666,465.1111111111111,587.6485864112251,1414.0,461.6666666666667,3.4444444444444446,0.29055555555555557,0.09955555555555556,7235.833888888888,13.0,0.047907360555555556,Karnataka,1.2607478611921397,0.9904648390941598,0,0,0.3168469658119658,-0.05418029914529915,1,1,0.9996447564348011,100.0,🔴 CRITICAL
Koriya,0.2408888888888889,6.841333333333334,195.88888888888889,239.99971064797373,579.0,195.77777777777777,0.1111111111111111,0.2886666666666666,0.7591111111111111,4936.361222222222,6.111111111111111,0.054456656666666665,Chhattisgarh,1.2189601556612661,0.9943566591422122,0,0,0.2937256306024599,-0.05283674171357097,1,1,1.0,100.0,🔴 CRITICAL
Mohali,0.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,-0.8500000000000001,2.75,0.0,0.0,Chandigarh,0.0,0.0,1,0,0.11266666666666666,-0.11266666666666666,1,1,1.0,100.0,🔴 CRITICAL
Chickmagalur,0.28255555555555556,2.7424444444444447,136.77777777777777,165.19744079266013,353.0,136.77777777777777,0.0,0.30977777777777776,0.40355555555555556,1712.5791111111112,18.444444444444443,0.021769446222222225,Karnataka,1.1990136831725333,0.992741935483871,0,0,0.3168469658119658,-0.03429141025641025,1,1,0.9995242165242165,100.0,🔴 CRITICAL
Chikkamagaluru,0.24777777777777776,2.480888888888889,127.88888888888889,156.26215508276823,341.0,123.66666666666667,4.222222222222222,0.29844444444444446,0.3333333333333333,1629.1637777777778,17.333333333333332,0.023028246333333335,Karnataka,1.2123787894352709,0.9594827586206898,0,0,0.3168469658119658,-0.06906918803418804,1,1,1.0,100.0,🔴 CRITICAL
Nandyal,0.1628888888888889,4.2282222222222225,100.55555555555556,121.57827839617477,278.0,99.88888888888889,0.6666666666666666,0.3125555555555556,-0.2222222222222222,2575.963444444444,18.77777777777778,0.01975877722222222,Andhra Pradesh,1.197160290553143,0.9835886214442012,0,0,0.21832202218585198,-0.05543313329696309,1,1,1.0,100.0,🔴 CRITICAL
Chamba,0.19511111111111112,2.3529999999999998,184.11111111111111,232.13489852047474,600.0,183.33333333333334,0.7777777777777778,0.3098888888888889,0.1418888888888889,2697.6240000000003,10.555555555555555,0.02959619677777778,Himachal Pradesh,1.2540300640361781,0.9903961584633854,0,0,0.2746982905982906,-0.07958717948717947,1,1,1.0,100.0,🔴 CRITICAL
Chamoli,0.253,2.829333333333333,121.11111111111111,149.46943202913133,373.0,120.33333333333333,0.7777777777777778,0.294,0.3332222222222222,2247.554,11.11111111111111,0.024342095999999997,Uttarakhand,1.2240444843149971,0.9854413102820746,0,0,0.32704222222222223,-0.07404222222222223,1,1,1.0,100.0,🔴 CRITICAL
Pauri Garhwal,0.25277777777777777,5.012111111111111,206.22222222222223,254.53525186984308,611.0,204.66666666666666,1.5555555555555556,0.2831111111111111,1.1452222222222224,2843.679,19.0,0.027592132222222218,Uttarakhand,1.2283202503102346,0.9876675603217158,0,0,0.32704222222222223,-0.07426444444444447,1,1,0.9996119888475836,100.0,🔴 CRITICAL
Pithoragarh,0.22866666666666666,2.920111111111111,135.55555555555554,168.55571119893202,426.0,134.55555555555554,1.0,0.28744444444444445,0.31611111111111106,2234.311888888889,11.0,0.02564054522222222,Uttarakhand,1.2343379990157757,0.985353946297803,0,0,0.32704222222222223,-0.09837555555555558,1,1,1.0,100.0,🔴 CRITICAL
Ramgarh,0.27855555555555556,4.312777777777778,331.0,421.9404578847589,977.0,329.77777777777777,1.2222222222222223,0.2737777777777778,1.0277777777777777,4431.856,10.333333333333334,0.04777725211111111,Jharkhand,1.270904993628792,0.9933065595716198,0,0,0.3963690753690754,-0.11781351981351984,1,1,0.9996447564348011,100.0,🔴 CRITICAL
Thoubal,0.07300000000000001,3.31,118.55555555555556,143.98881129371748,324.0,117.88888888888889,0.6666666666666666,0.30733333333333335,0.5277777777777778,3746.6137777777776,3.4444444444444446,0.044123109333333334,Manipur,1.2043673807095328,0.9860594795539033,0,0,0.15960000000000002,-0.08660000000000001,1,1,1.0,100.0,🔴 CRITICAL
Tiruppur,0.1751111111111111,4.587888888888888,688.0,880.2827670697637,2199.0,687.4444444444445,0.5555555555555556,0.274,0.48877777777777776,12985.207777777778,29.444444444444443,0.03644597777777778,Tamil Nadu,1.2776237548182348,0.9977422996290921,0,0,0.23021099498327757,-0.055099883872166466,1,1,1.0,100.0,🔴 CRITICAL
Rewari,0.224,4.772111111111111,276.1111111111111,340.78235152529703,800.0,275.44444444444446,0.6666666666666666,0.29588888888888887,0.29644444444444445,6106.087666666666,7.0,0.054536195555555556,Haryana,1.2297679084714008,0.9939855653568566,0,0,0.3328552469135802,-0.1088552469135802,1,1,1.0,100.0,🔴 CRITICAL
Bhiwani,0.27388888888888885,5.248333333333333,387.6666666666667,468.4074081395383,1004.0,385.8888888888889,1.7777777777777777,0.30433333333333334,1.0493333333333332,8571.065444444444,11.555555555555555,0.04571202211111111,Haryana,1.205164857991951,0.9928530588907948,0,0,0.3328552469135802,-0.05896635802469136,1,1,0.9996119888475836,100.0,🔴 CRITICAL
Sangareddy,0.19144444444444442,3.3914444444444443,300.3333333333333,382.17371704501085,886.0,299.1111111111111,1.2222222222222223,0.2667777777777778,0.634888888888889,2795.2569999999996,15.333333333333334,0.03500800444444444,Telangana,1.2682756096626466,0.9926253687315634,0,0,0.24095338217338216,-0.049508937728937746,1,1,1.0,100.0,🔴 CRITICAL
Sirmaur,0.24688888888888888,5.0921111111111115,176.0,224.42871919609576,512.0,175.22222222222223,0.7777777777777778,0.27799999999999997,-0.17244444444444446,3518.901,7.333333333333333,0.03736321277777778,Himachal Pradesh,1.2679588655146652,0.9899560577526679,0,0,0.2746982905982906,-0.027809401709401715,1,1,0.9996447564348011,100.0,🔴 CRITICAL
South DumDum(M),0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8967499999999999,3.5,0.0,0.0,West Bengal,0.0,0.0,1,0,0.4030857214185208,-0.4030857214185208,1,1,1.0,100.0,🔴 CRITICAL
Balod,0.1968888888888889,7.504111111111111,186.44444444444446,228.19734393234683,533.0,186.0,0.4444444444444444,0.2952222222222222,0.6481111111111111,8597.713555555556,4.555555555555555,0.05005321311111111,Chhattisgarh,1.217413215999479,0.9922940130409009,0,0,0.2937256306024599,-0.09683674171357098,1,1,1.0,100.0,🔴 CRITICAL
Bagpat,0.125,1.41675,0.25,0.5,1.0,0.25,0.0,0.0,-0.857,4.125,0.25,0.0075,Uttar Pradesh,0.4,0.2,0,0,0.4793220677361854,-0.3543220677361854,1,1,1.0,100.0,🔴 CRITICAL
Virudhunagar,0.2028888888888889,4.029222222222222,600.7777777777778,766.3163148755509,1891.0,599.5555555555555,1.2222222222222223,0.279,0.33699999999999997,9209.270888888888,26.0,0.035982976111111106,Tamil Nadu,1.2734207595790172,0.9963072378138846,0,0,0.23021099498327757,-0.027322106094388676,1,1,1.0,100.0,🔴 CRITICAL
Yamuna Nagar,0.25755555555555554,5.187111111111111,377.3333333333333,467.7109149891629,1071.0,376.44444444444446,0.8888888888888888,0.2982222222222222,0.23477777777777778,9426.533777777779,6.222222222222222,0.06932162,Haryana,1.2362403039361134,0.9950073421439061,0,0,0.3328552469135802,-0.07529969135802467,1,1,1.0,100.0,🔴 CRITICAL
Yadadri.,0.17955555555555558,4.8196666666666665,176.22222222222223,236.0565492513276,640.0,176.11111111111111,0.1111111111111111,0.25866666666666666,-0.2458888888888889,2359.6614444444444,6.666666666666667,0.032730777777777775,Telangana,1.3319805286908766,0.9937304075235109,0,0,0.24095338217338216,-0.061397826617826584,1,1,0.998549674467588,99.9,🔴 CRITICAL
Y. S. R,0.14255555555555555,4.932444444444444,91.44444444444444,113.06868610617961,251.0,87.77777777777777,3.6666666666666665,0.29433333333333334,-0.18311111111111109,2268.965,19.11111111111111,0.01963900266666667,Andhra Pradesh,1.2230987679755005,0.9495192307692307,0,0,0.21832202218585198,-0.07576646663029643,1,1,0.9992798620094868,99.9,🔴 CRITICAL
Wanaparthy,0.15666666666666665,2.0452222222222223,185.22222222222223,237.22077152822104,563.0,185.22222222222223,0.0,0.26499999999999996,-0.3571111111111111,1353.9283333333333,5.555555555555555,0.040492256444444444,Telangana,1.2738585583257693,0.9946300715990454,0,0,0.24095338217338216,-0.08428671550671551,1,1,0.999145124136166,99.9,🔴 CRITICAL
Sundergarh,0.23354545454545453,1.8329090909090908,363.72727272727275,585.7438161703615,1814.0,362.0,1.7272727272727273,0.22,1.4922727272727272,7515.716727272727,20.818181818181817,0.026732290909090906,Odisha,1.6059775617831444,0.9925224327018942,0,0,0.3008145225870375,-0.06726906804158297,1,1,0.9992124498938929,99.9,🔴 CRITICAL
Tehri Garhwal,0.2495,3.2619,278.1,370.37322017422133,869.0,276.8,1.3,0.16970000000000002,0.2845,3408.8160000000003,9.8,0.038661641499999996,Uttarakhand,1.327026944371986,0.9917592260838409,0,0,0.32704222222222223,-0.07754222222222223,1,1,0.9991311134235172,99.9,🔴 CRITICAL
Sri Muktsar Sahib,0.25722222222222224,5.000666666666667,146.11111111111111,206.61161901285004,577.0,145.22222222222223,0.8888888888888888,0.25922222222222224,-0.08322222222222223,5214.657444444445,6.555555555555555,0.03343964277777778,Punjab,1.4044596458577419,0.9871601208459214,0,0,0.39889003357753355,-0.1416678113553113,1,1,0.9992173185028841,99.9,🔴 CRITICAL
Srikakulam,0.11666666666666667,4.190444444444444,477.77777777777777,592.334951226453,1397.0,476.8888888888889,0.8888888888888888,0.2848888888888889,0.33677777777777773,22384.35677777778,29.333333333333332,0.02609441377777778,Andhra Pradesh,1.2371813787510042,0.9960547690879555,0,0,0.21832202218585198,-0.10165535551918531,1,1,0.9985773385898681,99.9,🔴 CRITICAL
Theni,0.1948888888888889,4.492333333333333,385.8888888888889,495.9534868423763,1257.0,385.6666666666667,0.2222222222222222,0.26966666666666667,-0.28511111111111115,7121.786222222222,14.0,0.03773464155555555,Tamil Nadu,1.2819016029814436,0.9968408960367605,0,0,0.23021099498327757,-0.03532210609438868,1,1,0.9991082964283764,99.9,🔴 CRITICAL
Faizabad,0.24911111111111112,3.2826666666666666,769.5555555555555,1033.3557121232639,2870.0,769.2222222222222,0.3333333333333333,0.2628888888888889,0.8967777777777778,8290.352555555555,16.88888888888889,0.04946108444444444,Uttar Pradesh,1.3410528347670332,0.9982696467195386,0,0,0.4793220677361854,-0.2302109566250743,1,1,0.9985195035460993,99.9,🔴 CRITICAL
Bhadrak,0.23033333333333333,1.732611111111111,271.72222222222223,541.317760932203,2030.0,270.94444444444446,0.7777777777777778,0.12000000000000001,1.6436666666666666,4197.947166666667,14.277777777777779,0.027022088055555556,Odisha,1.984868546909687,0.9934813607659402,0,0,0.3008145225870375,-0.07048118925370417,1,1,0.9986649871935811,99.9,🔴 CRITICAL
Sirsa,0.2806666666666666,6.991555555555555,370.55555555555554,449.1113756940229,1029.0,370.3333333333333,0.2222222222222222,0.3108888888888889,0.22244444444444447,10078.38688888889,6.222222222222222,0.06747447222222222,Haryana,1.2087327695114254,0.9967105263157895,0,0,0.3328552469135802,-0.052188580246913585,1,1,0.9994635399935753,99.9,🔴 CRITICAL
Rangareddi,0.16176923076923075,2.7900769230769233,144.92307692307693,237.74722625036785,634.0,144.92307692307693,0.0,0.11053846153846154,-0.022692307692307703,2666.2094615384613,16.23076923076923,0.018732546076923075,Andhra Pradesh,1.6292640702450087,0.9931470743278862,0,0,0.21832202218585198,-0.05655279141662123,1,1,0.9989093417083107,99.9,🔴 CRITICAL
Kakinada,0.15355555555555556,4.850333333333333,107.66666666666667,129.71989053341048,276.0,104.66666666666667,3.0,0.31366666666666665,-0.3463333333333333,2235.2535555555555,15.0,0.019432500333333335,Andhra Pradesh,1.1937413239270902,0.9631901840490797,0,0,0.21832202218585198,-0.06476646663029642,1,1,0.9992798620094868,99.9,🔴 CRITICAL
Jajapur,0.24436842105263157,1.7072105263157893,137.26315789473685,274.42137957391634,955.0,137.1578947368421,0.10526315789473684,0.11121052631578947,0.9351578947368422,2423.544157894737,10.894736842105264,0.01983414452631579,Odisha,1.9847758705384126,0.9920060905976399,0,0,0.3008145225870375,-0.056446101534405935,1,1,0.9988040785337033,99.9,🔴 CRITICAL
Hassan,0.22844444444444445,4.339888888888889,277.1111111111111,337.4179324089209,761.0,275.0,2.111111111111111,0.3018888888888889,0.7544444444444444,5730.451,21.77777777777778,0.02531150722222222,Karnataka,1.2132486582821767,0.9888134238913305,0,0,0.3168469658119658,-0.08840252136752136,1,1,0.9989049180327869,99.9,🔴 CRITICAL
Khammam,0.12983333333333333,3.190888888888889,278.94444444444446,450.7085235522115,1616.0,278.44444444444446,0.5,0.2073888888888889,0.7191666666666667,4023.2012222222224,21.0,0.026065629555555556,Andhra Pradesh,1.6099927414050024,0.9946417940067473,0,0,0.21832202218585198,-0.08848868885251865,1,1,0.9993851251840943,99.9,🔴 CRITICAL
