district,enrol_mean,enrol_std,enrol_max,child_mean,adult_mean,cis_mean,momentum,state,enrol_volatility,child_adult_ratio,zero_cis_flag,anomaly_label,anomaly_score,fraud_risk_score,is_anomaly
Banas Kantha,1928.2857142857142,3430.5100550931547,9228.0,1816.5714285714287,111.71428571428571,0.8925714285714286,-0.497,Gujarat,1.7781244269272183,16.116603295310522,0,-1,-0.7108735512518303,100.0,1
Bengaluru Urban,7691.333333333333,6117.396859231329,12219.0,6426.0,1265.3333333333333,0.9993333333333334,0.0,Karnataka,0.7952589408369366,5.074493287707292,0,-1,-0.7101095730199122,99.78215343003771,1
Murshidabad,3990.1111111111113,5272.448279605132,13877.0,3980.5555555555557,9.555555555555555,0.28355555555555556,0.25922222222222224,West Bengal,1.3210477315268983,377.10526315789474,0,-1,-0.6982851572869084,96.41044949709223,1
Pashchim Champaran,2044.875,3814.914731775048,9642.0,1974.625,70.25,0.751,-0.037375,Bihar,1.8646861278304139,27.7140350877193,0,-1,-0.6702504694726324,88.41642515824387,1
Purbi Champaran,4957.0,4142.349695523061,8337.0,4690.333333333333,266.6666666666667,0.999,0.0,Bihar,0.8354880386290966,17.523038605230383,0,-1,-0.6678605586030254,87.73494777615623,1
Dinajpur Uttar,3890.3333333333335,4556.581650023769,8934.0,3779.0,111.33333333333333,0.9926666666666666,0.0,West Bengal,1.170956394558104,33.640949554896146,0,-1,-0.6602838892011583,85.57447857431657,1
Sitamarhi,4692.444444444444,2227.404269049015,9117.0,4392.777777777777,299.6666666666667,0.739,0.05111111111111111,Bihar,0.47457774251180457,14.61012564671101,0,-1,-0.6502167078257329,82.70384582563406,1
South 24 Parganas,1397.5833333333333,3275.1067545384212,9838.0,1384.9166666666667,12.666666666666666,0.13812500000000003,0.043333333333333335,West Bengal,2.3417315768611724,101.33536585365854,0,-1,-0.6417223786106372,80.28170811760909,1
Bahraich,4370.888888888889,2960.272725799282,10547.0,4114.888888888889,256.0,0.7444444444444445,0.18077777777777781,Uttar Pradesh,0.677115270089042,16.011240812797233,0,-1,-0.6289869406404385,76.65022836744689,1
Kushi Nagar,1570.0,,1570.0,1556.0,14.0,0.999,0.0,Uttar Pradesh,,103.73333333333333,0,-1,-0.6215593600509274,74.53227148472129,1
East Khasi Hills,3201.3333333333335,2666.7240670905567,7798.0,2096.0,1105.3333333333333,0.7691111111111111,-0.19211111111111112,Meghalaya,0.8327440617541032,1.8945465501657126,0,-1,-0.6145700375151277,72.539282840318,1
Panch Mahals,280.4,582.9127722052416,1323.0,260.4,20.0,0.8322,-0.29619999999999996,Gujarat,2.0714739595069,12.399999999999999,0,-1,-0.6045373005914789,69.67847184487434,1
24 Paraganas North,3073.5,2861.6611434619576,5097.0,2817.5,256.0,0.9995,0.0,West Bengal,0.9307728552486445,10.963035019455253,0,-1,-0.6020937226290611,68.9816914193226,1
Surendranagar,288.4,571.2156335395592,1310.0,272.8,15.6,0.8917999999999999,-0.2732,Gujarat,1.9737927903923955,16.433734939759034,0,-1,-0.5979191309213848,67.79131655454793,1
Thane,4368.8,3028.1308793085914,8780.0,4272.1,96.7,0.4678,0.27,Maharashtra,0.6929678427636485,43.7267144319345,0,-1,-0.5942912902798771,66.75684645173096,1
Dohad,1444.7777777777778,2653.5014969742233,8001.0,1370.3333333333333,74.44444444444444,0.6601111111111111,0.048333333333333325,Gujarat,1.8353453329824785,18.163475699558173,0,-1,-0.5930771177979428,66.4106280655501,1
Sabar Kantha,487.4,1000.5300095449412,2277.0,456.0,31.4,0.8055999999999999,-0.2872,Gujarat,2.0485872431305103,14.074074074074074,0,-1,-0.5917920625928157,66.04419763997858,1
Gaya,3044.5555555555557,1707.4419544387968,5652.0,2996.222222222222,48.333333333333336,0.6952222222222222,0.40944444444444444,Bihar,0.5606339872290832,60.73423423423423,0,-1,-0.5894375944453261,65.3728266655356,1
North 24 Parganas,3178.4444444444443,3881.979459989166,10642.0,3028.6666666666665,149.77777777777777,0.5064444444444445,0.16122222222222224,West Bengal,1.2209615635122313,20.08695652173913,0,-1,-0.588873931174235,65.21209942869717,1
Nuh,1506.0,,1506.0,1464.0,42.0,0.999,0.0,Haryana,,34.04651162790697,0,-1,-0.5857825130170563,64.33058891737055,1
Pune,3529.222222222222,3296.887576858581,7877.0,3402.6666666666665,126.55555555555556,0.371,0.4464444444444444,Maharashtra,0.9339036948170474,26.67595818815331,0,-1,-0.5837455822866557,63.749762979759126,1
Coochbehar,1470.0,2412.037520437856,4255.0,1409.0,61.0,0.9860000000000001,0.0,West Bengal,1.6397263905083999,22.725806451612904,0,-1,-0.5835565802330384,63.69586949513326,1
East Singhbum,1447.0,,1447.0,1394.0,53.0,0.999,0.0,Jharkhand,,25.814814814814813,0,-1,-0.58230526313365,63.33905940991328,1
Madhubani,2881.1111111111113,1724.1435877301842,5101.0,2792.4444444444443,88.66666666666667,0.7364444444444445,0.516,Bihar,0.5982224561306009,31.142503097893428,0,-1,-0.5818158909312146,63.19951609404183,1
Saran,2690.8888888888887,2439.634421611384,6369.0,2666.5555555555557,24.333333333333332,0.6198888888888888,0.5078888888888888,Bihar,0.9062909066125586,105.25877192982458,0,-1,-0.5812774627989766,63.04598459683576,1
Barddhaman,1759.5555555555557,2310.2871634880757,6178.0,1758.0,1.5555555555555556,0.28055555555555556,0.2653333333333333,West Bengal,1.3122489410787428,687.9130434782609,0,-1,-0.5812326858996288,63.03321657082542,1
Siddharth Nagar,2170.5,2513.7646071181766,3948.0,2094.5,76.0,0.9984999999999999,0.0,Uttar Pradesh,1.1576166737822595,27.2012987012987,0,-1,-0.580102012197745,62.71080766254601,1
Bengaluru,3442.222222222222,2846.0250252667215,7847.0,3019.222222222222,423.0,0.35411111111111115,0.07677777777777778,Karnataka,0.8265586249120815,7.1208071278826,0,-1,-0.5779867336219139,62.107641023749764,1
Dinajpur Dakshin,997.0,,997.0,963.0,34.0,0.999,0.0,West Bengal,,27.514285714285716,0,-1,-0.5735752671169263,60.84972187571035,1
Bengaluru Rural,465.0,738.1495783376158,1654.0,361.5,103.5,0.4025,-0.49983333333333335,Karnataka,1.584011970681579,3.45933014354067,0,-1,-0.5734899003081645,60.82537973387904,1
Dima Hasao,41.666666666666664,58.005746841728254,148.0,37.0,4.666666666666667,0.7465,-0.4335,Assam,1.359509691603006,6.529411764705882,0,-1,-0.5715130727164007,60.26169206284247,1
Hooghly,301.3921568627451,1069.8334651417738,5586.0,294.6862745098039,6.705882352941177,0.297078431372549,0.032705882352941175,West Bengal,3.537900837908862,38.24173027989822,0,-1,-0.5694591745394931,59.67602789834427,1
Alwar,2598.1111111111113,2326.4199128942973,7587.0,2564.222222222222,33.888888888888886,0.6305555555555555,0.4334444444444444,Rajasthan,0.8950829008228742,73.49681528662421,0,-1,-0.5685126756962003,59.40613601154676,1
Sitapur,3428.222222222222,2505.274325187652,8116.0,3345.1111111111113,83.11111111111111,0.7257777777777777,0.23755555555555555,Uttar Pradesh,0.7305663391986802,39.77014531043593,0,-1,-0.567308438397159,59.06275061906228,1
Jaipur,3460.6666666666665,3146.2599622408825,9131.0,3379.1111111111113,81.55555555555556,0.4018888888888889,0.27588888888888885,Rajasthan,0.9088858822072844,40.93135935397039,0,-1,-0.5610166171883504,57.26865281379668,1
Hugli,48.5,17.01959654829299,74.0,48.5,0.0,0.9085,-0.1115,West Bengal,0.3438302332988483,48.5,0,-1,-0.5599460838575149,56.963392788825416,1
Agra,3323.3333333333335,1553.1470471272191,5764.0,3222.777777777778,100.55555555555556,0.6626666666666667,0.262,Uttar Pradesh,0.46720556917493805,31.73413566739606,0,-1,-0.5591263365497303,56.72964379994607,1
Muzaffarpur,3206.1111111111113,1587.630029670361,5444.0,3132.222222222222,73.88888888888889,0.7073333333333333,0.19577777777777777,Bihar,0.49503430803191684,41.82492581602374,0,-1,-0.5589523208104403,56.68002362709297,1
West Khasi Hills,1766.4444444444443,1575.8782560140164,4695.0,1176.4444444444443,590.0,0.7444444444444445,-0.246,Meghalaya,0.8916140255312849,1.99059973679263,0,-1,-0.5583926787923733,56.52044304095954,1
Purnia,2233.3333333333335,1916.4267531006763,5375.0,2212.8888888888887,20.444444444444443,0.6343333333333333,0.44777777777777783,Bihar,0.8577174786367341,103.19170984455958,0,-1,-0.5567211700104049,56.04381630003861,1
Howrah,456.56,1106.657771550597,4232.0,450.72,5.84,0.22920000000000001,-0.019000000000000003,West Bengal,2.4186068964738987,65.89473684210527,0,-1,-0.5559123084395352,55.81317135306692,1
Nabarangpur,442.0,,442.0,430.0,12.0,0.998,0.0,Odisha,,33.07692307692308,0,-1,-0.5552080233720301,55.61234614650778,1
24 Paraganas South,490.0,,490.0,468.0,22.0,0.998,0.0,West Bengal,,20.347826086956523,0,-1,-0.5547239146109021,55.474303688366454,1
Visakhapatanam,226.0,,226.0,214.0,12.0,0.995,0.0,Andhra Pradesh,,16.46153846153846,0,-1,-0.5546767281550699,55.46084858307383,1
Moradabad,2393.8888888888887,1234.8183514635305,4051.0,2369.6666666666665,24.22222222222222,0.5956666666666667,0.21955555555555556,Uttar Pradesh,0.515605695609714,93.95154185022027,0,-1,-0.553878672360928,55.233284877553274,1
Meerut,2669.6666666666665,1736.8188592941983,4999.0,2641.6666666666665,28.0,0.6648888888888889,0.35511111111111116,Uttar Pradesh,0.6503315748730149,91.0919540229885,0,-1,-0.5526945014853046,54.89562137782747,1
Ranga Reddy,284.0,,284.0,274.0,10.0,0.996,0.0,Telangana,,24.90909090909091,0,-1,-0.5519541152992037,54.68450202343879,1
Ramanagara,204.0,,204.0,192.0,12.0,0.995,0.0,Karnataka,,14.76923076923077,0,-1,-0.551226793458851,54.4771079360684,1
West Jaintia Hills,1312.888888888889,986.1236540673341,2917.0,890.8888888888889,422.0,0.8343333333333334,-0.23188888888888892,Meghalaya,0.7505380876622416,2.106120304701865,0,-1,-0.5507004411628497,54.32701983475199,1
