district,enrol_mean,enrol_std,enrol_max,child_mean,adult_mean,cis_mean,momentum,state,enrol_volatility,child_adult_ratio,zero_cis_flag,anomaly_label,anomaly_score,fraud_risk_score,is_anomaly
24 Paraganas North,3073.5,2861.6611434619576,5097.0,2817.5,256.0,0.9995,0.0,West Bengal,0.9307728552486445,10.963035019455253,0,-1,-0.6020937226290611,68.9816914193226,1
24 Paraganas South,490.0,,490.0,468.0,22.0,0.998,0.0,West Bengal,,20.347826086956523,0,-1,-0.5547239146109021,55.474303688366454,1
?,0.0,,0.0,0.0,0.0,0.0,0.0,Jammu and Kashmir,,0.0,1,1,-0.49276294845301244,37.80628202869596,0
Adilabad,244.77777777777777,355.6684767581703,1211.0,244.55555555555554,0.2222222222222222,0.17733333333333334,0.14605555555555555,Andhra Pradesh,1.4471140555260094,200.09090909090907,0,1,-0.4314647007746915,20.327232962213344,0
Agar Malwa,281.8888888888889,368.5517075134928,955.0,278.6666666666667,3.2222222222222223,0.371,0.34777777777777774,Madhya Pradesh,1.3028143627735407,66.0,0,1,-0.38207923920080794,6.245086429236849,0
Agra,3323.3333333333335,1553.1470471272191,5764.0,3222.777777777778,100.55555555555556,0.6626666666666667,0.262,Uttar Pradesh,0.46720556917493805,31.73413566739606,0,-1,-0.5591263365497303,56.72964379994607,1
Ahilyanagar,13.0,,13.0,13.0,0.0,0.061,0.0,Maharashtra,,13.0,0,1,-0.4984019455790486,39.41422860441184,0
Ahmadabad,740.7777777777778,1455.0144997368393,4484.0,714.1111111111111,26.666666666666668,0.5571111111111111,0.06977777777777777,Gujarat,1.9615234418261762,25.811244979919678,0,1,-0.5113329755137166,43.10148093655564,0
Ahmadnagar,1315.111111111111,1718.9260778495134,4446.0,1300.7777777777778,14.333333333333334,0.38033333333333336,0.2538888888888889,Maharashtra,1.3060645589401114,84.83333333333333,0,1,-0.43449283422073887,21.190697989159588,0
Ahmed Nagar,37.77777777777778,50.355679366328125,138.0,37.77777777777778,0.0,0.32766666666666666,0.4092222222222222,Maharashtra,1.298570528071499,37.77777777777778,0,1,-0.4241932373573056,18.253792518620173,0
Ahmedabad,2125.5555555555557,2309.785710358816,6051.0,2058.1111111111113,67.44444444444444,0.3135555555555556,0.39133333333333337,Gujarat,1.086162881719491,30.0698051948052,0,1,-0.5211468523070076,45.89988448803295,0
Ahmednagar,368.0,,368.0,340.0,28.0,0.997,0.0,Maharashtra,,11.724137931034482,0,1,-0.5459633189713636,52.97624074472929,0
Aizawl,117.66666666666667,160.83376511168294,365.0,110.88888888888889,6.777777777777778,0.23333333333333334,0.24477777777777776,Mizoram,1.3553407172332832,14.257142857142856,0,1,-0.37106035498983314,3.103077887781666,0
Ajmer,1348.3333333333333,1370.901801734902,4122.0,1331.888888888889,16.444444444444443,0.4096666666666666,0.24044444444444446,Rajasthan,1.01598453685887,76.35031847133759,0,1,-0.42262146294306846,17.805604794689387,0
Akhera,0.0,,0.0,0.0,0.0,0.0,0.0,Haryana,,0.0,1,1,-0.49276294845301244,37.80628202869596,0
