district,cis_mean,adult_child_ratio,enrol_mean,enrol_std,enrol_total_sum,child_enrol_mean,adult_enrol_mean,momentum,coverage_gap,update_lag,num_pincodes,enrol_per_day,state,enrol_volatility,cost_burden_index,service_efficiency,compliance_rate,roi_potential,crisis_flag,cluster,persona_name,priority,strategy,pca_1,pca_2
24 Paraganas North,0.9995,0.1015,3073.5,2861.6611434619576,6147.0,2817.5,256.0,0.0,-0.618,0.0,15.5,5.76182065,West Bengal,0.9307728552486445,0.05604637131491865,0.11155509486931268,1.0,0.6717796226982657,0,1,🟢 High Performance,4.0,Maintain + share best practices,-3.8485340492817675,3.862363939585273
24 Paraganas South,0.998,0.047,490.0,,490.0,468.0,22.0,0.0,-0.941,0.0,1.0,15.81,West Bengal,,,0.30609874152952565,1.0,,0,1,🟢 High Performance,4.0,Maintain + share best practices,-5.536245831849436,2.1519937319636604
?,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,-0.833,1.0,0.0,0.0,Jammu and Kashmir,,,0.0,0.0,,1,1,🟢 High Performance,4.0,Maintain + share best practices,-4.035949519031008,-0.5549140306507937
Adilabad,0.17733333333333334,4.163277777777778,244.77777777777777,355.6684767581703,4406.0,244.55555555555554,0.2222222222222222,0.14605555555555555,0.5482777777777778,4774.549222222222,18.666666666666668,0.027544704944444443,Andhra Pradesh,1.4471140555260094,1.0,0.0005332953522641712,-4773.549222222222,0.015912571147900956,1,0,🟡 Moderate Risk,3.0,Targeted school drives + awareness campaigns,0.9420735104310789,-0.9182232137059565
Agar Malwa,0.371,4.5264444444444445,281.8888888888889,368.5517075134928,2537.0,278.6666666666667,3.2222222222222223,0.34777777777777774,-0.4888888888888888,1728.7317777777778,2.6666666666666665,0.10419184555555555,Madhya Pradesh,1.3028143627735407,1.0,0.0020172670969129825,-1727.7317777777778,0.018325098956978998,0,0,🟡 Moderate Risk,3.0,Targeted school drives + awareness campaigns,-0.36814361071004575,-0.9573519698080124
Agra,0.6626666666666667,3.001333333333333,3323.3333333333335,1553.1470471272191,29910.0,3222.777777777778,100.55555555555556,0.262,0.5318888888888889,19.134333333333334,15.666666666666666,10.489089917777777,Uttar Pradesh,0.46720556917493805,1.0,0.20308015329676238,-18.134333333333334,0.21604403224408428,0,0,🟡 Moderate Risk,3.0,Targeted school drives + awareness campaigns,-0.9278291943195974,3.181471744644992
Ahilyanagar,0.061,10.364,13.0,,13.0,13.0,0.0,0.0,0.857,173.929,11.0,0.0325,Maharashtra,,,0.0006292352371732818,-172.929,,1,1,🟢 High Performance,4.0,Maintain + share best practices,-3.1648355876297356,0.31458808510537606
Ahmadabad,0.5571111111111111,3.011777777777778,740.7777777777778,1455.0144997368393,6667.0,714.1111111111111,26.666666666666668,0.06977777777777777,0.5228888888888888,549.3113333333333,21.77777777777778,2.1624940887777777,Gujarat,1.9615234418261762,1.0,0.04186823017962784,-548.3113333333333,0.048156655398572716,0,0,🟡 Moderate Risk,3.0,Targeted school drives + awareness campaigns,0.6021297111213672,-0.19374531547931978
Ahmadnagar,0.38033333333333336,7.457222222222222,1315.111111111111,1718.9260778495134,11836.0,1300.7777777777778,14.333333333333334,0.2538888888888889,1.8362222222222222,18940.780777777778,39.888888888888886,0.4020337437777778,Maharashtra,1.3060645589401114,1.0,0.007783809172851458,-18939.780777777778,0.08549305134205888,0,0,🟡 Moderate Risk,3.0,Targeted school drives + awareness campaigns,2.6525461826956485,1.945122893208377
Ahmed Nagar,0.32766666666666666,5.911333333333333,37.77777777777778,50.355679366328125,340.0,37.77777777777778,0.0,0.4092222222222222,-0.02633333333333332,169.689,12.222222222222221,0.01900257011111111,Maharashtra,1.298570528071499,1.0,0.00036791036033128965,-168.689,0.0024558666319956083,0,0,🟡 Moderate Risk,3.0,Targeted school drives + awareness campaigns,-0.22530759593943261,-1.1649638107616012
