state,age_0_5,age_5_17,age_18_greater,total_enrolments,child_ratio,adult_ratio,dependency_ratio
100000,0,1,213,214,0.46728971962616817,99.53271028037383,0.004694835680751174
Andaman & Nicobar Islands,106,5,0,111,100.0,0.0,inf
Andaman and Nicobar Islands,363,27,0,390,100.0,0.0,inf
Andhra Pradesh,109389,13414,1465,124268,98.82109634016803,1.1789036598319762,83.82457337883959
Arunachal Pradesh,1914,2176,150,4240,96.4622641509434,3.5377358490566038,27.266666666666666
Assam,137970,64834,22555,225359,89.99152463402838,10.008475365971629,8.991531811128352
Bihar,254911,327043,11799,593753,98.01281004053874,1.9871899594612572,49.3223154504619
Chandigarh,2377,210,33,2620,98.74045801526718,1.2595419847328244,78.39393939393939
Chhattisgarh,79653,18158,1962,99773,98.03353612700832,1.966463872991691,49.85270132517839
Dadra & Nagar Haveli,22,3,0,25,100.0,0.0,inf
Dadra and Nagar Haveli,664,70,4,738,99.45799457994579,0.5420054200542005,183.5
Dadra and Nagar Haveli and Daman and Diu,130,20,19,169,88.75739644970415,11.242603550295858,7.894736842105263
Daman & Diu,20,1,0,21,100.0,0.0,inf
Daman and Diu,100,13,0,113,100.0,0.0,inf
Delhi,67844,21971,3023,92838,96.7437902582994,3.256209741700597,29.710552431359577
Goa,1871,253,156,2280,93.15789473684211,6.842105263157896,13.615384615384615
Gujarat,188709,70270,16063,275042,94.15980104856713,5.840198951432872,16.122704351615514
Haryana,85112,8897,1076,95085,98.86838092233265,1.1316190776673503,87.36895910780669
Himachal Pradesh,16081,650,178,16909,98.94730616831274,1.0526938316872672,93.99438202247191
Jammu & Kashmir,126,20,0,146,100.0,0.0,inf
Jammu And Kashmir,569,344,37,950,96.10526315789474,3.8947368421052633,24.675675675675677
Jammu and Kashmir,38619,7438,485,46542,98.95793047140218,1.0420695285978256,94.96288659793814
Jharkhand,96048,56152,1412,153612,99.08080097909018,0.9191990209098247,107.79036827195468
Karnataka,176178,33402,10038,219618,95.4293363931918,4.570663606808186,20.87866108786611
Kerala,52950,18360,2640,73950,96.43002028397567,3.5699797160243407,27.011363636363637
Ladakh,466,133,18,617,97.08265802269044,2.9173419773095626,33.27777777777778
Lakshadweep,188,10,1,199,99.49748743718592,0.5025125628140703,198.0
Madhya Pradesh,363244,115172,9476,487892,98.05776688283473,1.9422331171652742,50.48712536935416
Maharashtra,274274,81069,8103,363446,97.77050786086517,2.229492139134837,43.85326422312723
Manipur,5044,7895,260,13199,98.03015379953027,1.9698462004697326,49.76538461538462
Meghalaya,21072,53089,35078,109239,67.88875767811862,32.11124232188138,2.1141741262329665
Mizoram,4044,1259,471,5774,91.84274333217873,8.157256667821269,11.259023354564755
Nagaland,4453,9856,1120,15429,92.74094238123016,7.259057618769848,12.775892857142857
ODISHA,1,0,0,1,100.0,0.0,inf
Odisha,94025,21648,726,116399,99.37628330140294,0.623716698597067,159.32920110192836
Orissa,3474,580,0,4054,100.0,0.0,inf
Pondicherry,1181,79,0,1260,100.0,0.0,inf
Puducherry,1565,114,44,1723,97.44631456761462,2.5536854323853744,38.15909090909091
Punjab,60481,12175,3117,75773,95.886397529463,4.113602470536999,23.30959255694578
Rajasthan,224977,110131,5483,340591,98.39015123711431,1.60984876288569,61.11763633047602
Sikkim,1040,1030,105,2175,95.17241379310344,4.827586206896552,19.714285714285715
Tamil Nadu,178294,36214,1202,215710,99.44277038616661,0.5572296138333874,178.459234608985
Telangana,103768,24035,1145,128948,99.11204516549307,0.887954834506933,111.61834061135372
The Dadra And Nagar Haveli And Daman And Diu,548,141,27,716,96.22905027932961,3.7709497206703912,25.51851851851852
Tripura,7165,3597,246,11008,97.76526162790698,2.2347383720930236,43.7479674796748
Uttar Pradesh,511727,473205,17699,1002631,98.23474438751644,1.765255612483556,55.64901971862817
Uttarakhand,31208,5410,338,36956,99.08539885268969,0.9146011473103149,108.33727810650888
WEST BENGAL,3,1,0,4,100.0,0.0,inf
WESTBENGAL,1,0,0,1,100.0,0.0,inf
West  Bengal,9,6,0,15,100.0,0.0,inf
West Bangal,7,3,0,10,100.0,0.0,inf
West Bengal,270390,90321,8495,369206,97.69911648239736,2.300883517602639,42.46156562683932
West bengal,6,1,0,7,100.0,0.0,inf
Westbengal,3,3,0,6,100.0,0.0,inf
andhra pradesh,5,0,0,5,100.0,0.0,inf
